url,source,type,title,description,publication_date
https://www.vg-velden.de/baugebiete-vg-velden.html,VG Velden,HTML Page,Baugebiete der Mitgliedsgemeinden,"Keyword found in title, no separate description snippet.",Not found
https://www.vg-wartenberg.de/verwaltungsgemeinschaft/slider-verwaltungsgemeinschaft/stellenausschreibungen-vg/,VG Wartenberg,HTML Page,Stellenausschreibungen in der VG,"Keyword found in title, no separate description snippet.",Not found
https://www.vg-wartenberg.de/wartenberg/foermliche-beteiligung-der-oeffentlichkeit-im-bauleitplanverfahren-bebauungsplan-am-bruendlhof-18-aenderung-nach-%c2%a7-13-abs-2-nr-2-%c2%a7-3-abs-2-baugb/,Markt Wartenberg,HTML Page,"Förmliche Beteiligung der Öffentlichkeit im Bauleitplanverfahren „Bebauungsplan Am Bründlhof“, 18. Änderung nach § 13 Abs. 2 Nr. 2, § 3 Abs. 2 BauGB","Keyword found in title, no separate description snippet.",Not found
https://www.vg-wartenberg.de/wartenberg/flaechennutzungsplan/,Markt Wartenberg,HTML Page,Flächennutzungsplan,"Keyword found in title, no separate description snippet.",Not found
https://www.vg-wartenberg.de/wartenberg/oeffentliche-aussschreibungen-2/,Markt Wartenberg,HTML Page,Öffentliche Ausschreibungen,"Keyword found in title, no separate description snippet.",Not found
https://www.bodenkirchen.de/die-gemeinde/gewaesserentwicklung/,Bodenkirchen,HTML Page,Wasser- und Naturerlebnisraum am Sippenbach,Startseite » Die Gemeinde » Gewässerentwicklung,Not found
https://www.bodenkirchen.de/bekanntmachung-ueber-die-beteiligung-der-oeffentlichkeit-behoerden-und-sonstigen-traeger-oeffentlicher-belange-zum-integrierten-staedtebaulichen-entwicklungskonzept-isek-mit-vorbereitenden-untersuc/,Bodenkirchen,HTML Page,Bekanntmachung ISEK mit VU,"Bekanntmachung über die Beteiligung der Öffentlichkeit, Behörden und sonstigen Träger öffentlicher Belange zum Integrierten städtebaulichen Entwicklungskonzept (ISEK) mit vorbereitenden Untersuchungen (VU) der Gemeinde Bodenkirchen 2025 gemäß §§ 137 und 139 Baugesetzbuch (BauGB)",Not found
https://www.bodenkirchen.de/bauen-gewerbe/baugrundstuecke/,Bodenkirchen,HTML Page,Baugrundstücke,Startseite » Bauen & Gewerbe » Baugrundstücke | In der Gemeinde Bodenkirchen stehen derzeit im Baugebiet „Fuchshöhe“ in Bodenkirchen und im Baugebiet „An der Pröllerstraße“ in Aich Baugrundstücke zur Verfügung.,Not found
https://www.buchbach.de/Regionalentwicklung-Buchbach-Schwindegg.n95.html,Buchbach,HTML Page,Regionalentwicklung Buchbach-Schwindegg,"Keyword found in title, no separate description snippet.",Not found
https://www.geisenhausen.de/oeffentliche-ausschreibungen,Geisenhausen,HTML Page,Öffentliche Ausschreibungen - Markt Geisenhausen,Ab sofort werden unsere Bauvorhaben bzw. öffentlichen Ausschreibungen auf der Plattform des Staatsanzeigers eServices unter https://www.staatsanzeiger-eservices.de/index.html veröffentlicht.,Not found
